Kaze Shabu Shabu,d,japanese,http://www.yelp.com/biz/kaze-shabu-shabu-boston,2,3,1,2,1,1,4,Japanese,b
Sorellina,d,italian,http://www.yelp.com/biz/sorellina-boston,2,2,1,3,1,2,4,Italian,b
Grotto,d,italian,http://www.yelp.com/biz/grotto-boston,2,1,1,2,2,2,4,Italian,b
Hamersley's Bistro,d,american,http://www.yelp.com/biz/hamersleys-bistro-boston,2,3,1,2,2,2,4,American,b
Roast Beast,l,sandwiches,http://www.yelp.com/biz/roast-beast-boston,1,3,1,1,1,1,4,Sandwiches,b
Orinoco,l,caribbean,http://www.yelp.com/biz/orinoco-boston,2,2,1,1,1,2,4,Caribbean,b
Union Bar and Grille,l,american,http://www.yelp.com/biz/union-bar-and-grille-boston-2,2,3,1,3,2,2,4,American,b
Mike & Patty's,d,sandwiches,http://www.yelp.com/biz/mike-and-pattys-boston,1,1,1,1,1,1,5,Sandwiches,b
B & G Oysters,l,seafood,http://www.yelp.com/biz/b-and-g-oysters-boston,2,2,1,3,1,3,4,Seafood,b
Franklin Café,l,american,http://www.yelp.com/biz/franklin-caf%C3%A9-boston-4,1,1,1,2,2,1,4,American,b
Regina Pizeria,d,pizza,http://www.yelp.com/biz/regina-pizzeria-boston-3,1,3,1,1,1,2,4,Pizza,b
Radius Restaurant,d,american,http://www.yelp.com/biz/radius-restaurant-boston,2,2,1,3,1,2,4,American,b
Marco,d,italian,http://www.yelp.com/biz/marco-boston,2,2,1,3,1,2,5,Italian,b
Mayers + Chang,d,asian,http://www.yelp.com/biz/myers-chang-boston,2,3,1,2,1,2,4,Asian,b
Brown Sugar Café,l,thai,http://www.yelp.com/biz/brown-sugar-cafe-boston-2,2,3,1,1,1,1,4,Thai,b
Toscano Restaurant,d,italian,http://www.yelp.com/biz/toscano-restaurant-boston,2,2,1,2,1,2,4,Italian,b
Sam LaGrassa's,l,sandwiches,http://www.yelp.com/biz/sam-lagrassas-boston-3,1,1,1,1,1,1,5,Sandwiches,b
Stella,d,italian ,http://www.yelp.com/biz/stella-boston,2,2,1,3,3,2,4,Italian,b
Coda,d,American,http://www.yelp.com/biz/coda-boston,2,2,1,2,2,2,4,American,b
Coppa,d,Italian,http://www.yelp.com/biz/coppa-boston-2,2,2,1,3,1,2,4,Italian,b
The Oceanaire Seafood Room,d,Seafood,http://www.yelp.com/biz/the-oceanaire-seafood-room-boston,2,2,1,3,2,1,4,Seafood,b
Avana Sushi,l,Japanese,http://www.yelp.com/biz/avana-sushi-boston,1,3,1,1,1,1,5,Japanese,b
Yankee Lobster Fish Market,l ,Seafood,http://www.yelp.com/biz/yankee-lobster-fish-market-boston,1,2,1,2,2,3,4,Seafood,b
Petit Robert Bistro,d,French,http://www.yelp.com/biz/petit-robert-bistro-boston,2,2,1,2,3,2,4,French,b
Hillstone,d,American,http://www.yelp.com/biz/hillstone-boston,2,2,1,3,2,2,4,American,b
Garlic 'n Lemons,l,,http://www.yelp.com/biz/garlic-n-lemons-boston,1,3,1,1,1,2,4,Middle-Eastern,b
Al's State Street Café,l,,http://www.yelp.com/biz/als-state-street-cafe-boston,1,1,1,1,3,2,5,Sandwiches,b
Deuxave,d,,http://www.yelp.com/biz/deuxave-boston,2,2,1,3,1,2,4,American,b
Gourmet Dumpling House,d,,http://www.yelp.com/biz/gourmet-dumpling-house-boston,2,3,1,2,2,3,5,Chinese,b
North Street Grille,l,,http://www.yelp.com/biz/north-street-grille-boston-2,2,3,1,2,2,3,4,Brunch,b
Da Vinci Ristorante,d,,http://www.yelp.com/biz/da-vinci-ristorante-boston,2,2,1,3,1,2,4,Italian,b
Volle Nolle,l,,http://www.yelp.com/biz/volle-nolle-boston-2,1,1,1,1,1,1,5,Sandwiches,b
Metropolis Café,d,,http://www.yelp.com/biz/metropolis-cafe-boston,2,2,1,2,2,2,4,Mediterranean,b
Bon Chon,l,,http://www.yelp.com/biz/bon-chon-boston-2,2,3,1,2,1,2,4,Korean,b
Las Ventas,l,,http://www.yelp.com/biz/las-ventas-boston,1,2,1,1,1,1,4,Spanish,b
75 Chestnut,d,,http://www.yelp.com/biz/75-chestnut-boston,2,3,1,2,2,1,4,American,b
Masa,d,,http://www.yelp.com/biz/masa-boston,2,3,1,2,2,2,4,Mexican,b
The Pour House,d,,http://www.yelp.com/biz/the-pour-house-boston,2,3,1,1,1,3,3,American,b
The Salty Pig,d,,http://www.yelp.com/biz/the-salty-pig-boston,2,3,1,2,1,3,4,American,b
Windsor Dim Sum Café,l,,http://www.yelp.com/biz/winsor-dim-sum-caf%C3%A9-boston-2,2,3,1,1,1,3,4,Chinese,b
Clio,d,,http://www.yelp.com/biz/clio-restaurant-boston,2,2,1,3,1,3,4,American,b
Scollay Square,d,,http://www.yelp.com/biz/scollay-square-boston,2,3,1,2,3,2,3,Seafood,b
Oishii Boston,d,,http://www.yelp.com/biz/oishii-boston-boston,2,3,1,3,1,2,4,Japanese,b
Douzo,d,,http://www.yelp.com/biz/douzo-boston,2,2,1,3,1,2,4,Japanese,b
The Butcher Shop,d,,http://www.yelp.com/biz/the-butcher-shop-boston,2,2,1,2,3,2,4,American,b
Elephant Walk,d,,http://www.yelp.com/biz/elephant-walk-boston,2,2,1,3,1,2,4,Cambodian,b
Mul's Diner,l,,http://www.yelp.com/biz/muls-diner-boston,1,3,1,1,3,2,4,Brunch,b
Ernesto's,l,,http://www.yelp.com/biz/ernestos-boston,2,3,1,1,1,2,3,Pizza,b
Boston Chowda Co.,l,,http://www.yelp.com/biz/boston-chowda-co-boston-3,1,3,1,1,2,3,5,Seafood,b
Sonsie,d,,http://www.yelp.com/biz/sonsie-boston,2,2,1,2,1,3,4,American,b
Top of the Hub,d,,http://www.yelp.com/biz/top-of-the-hub-boston,2,3,1,3,2,3,3,American,b
Xinh Xinh,l,,http://www.yelp.com/biz/xinh-xinh-boston,1,3,1,1,1,2,4,Vietnamese,b
Chacarero,l,,http://www.yelp.com/biz/chacarero-boston-2,1,1,1,1,1,1,3,Sandwiches,b
Uburger,l,,http://www.yelp.com/biz/uburger-boston,1,3,1,1,1,2,4,Burgers,b
Market by Jean-Georges,d,,http://www.yelp.com/biz/market-by-jean-georges-boston,2,2,1,3,1,3,4,American,b
